date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:56:41	81858/81858	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jun%202017%2011:56:01%20GMT	https://netelsan.com.tr/upload/2017/06/180-derece-krom-soft.jpg	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/upload/2017/06/180-derece-krom-soft.jpg	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:56:46	73180/73180	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:56:33%20GMT	http://netelsan.com.tr/index-en.php?/sensors/motion-sensors/180-digital-sensor-wall-type-armatures-chrome-soft	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/index-enfc70.html	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:56:52	73180/73180	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:56:39%20GMT	http://netelsan.com.tr/index-en.php?/sensors/180-digital-sensor-wall-type-armatures-chrome-soft	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/index-en3ee2.html	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:56:55	109727/109727	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jun%202017%2011:56:24%20GMT	https://netelsan.com.tr/upload/2017/06/180-derece-krom-seffaf.jpg	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/upload/2017/06/180-derece-krom-seffaf.jpg	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:56:58	73221/73221	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:56:45%20GMT	http://netelsan.com.tr/index-en.php?/sensors/180-digital-sensor-wall-type-armatures-chrome-transparent	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/index-en6c0f.html	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:57:00	65098/65098	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jun%202017%2011:50:32%20GMT	https://netelsan.com.tr/upload/2017/06/180-derece-klasik.jpg	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/upload/2017/06/180-derece-klasik.jpg	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:57:01	73221/73221	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:56:41%20GMT	http://netelsan.com.tr/index-en.php?/sensors/motion-sensors/180-digital-sensor-wall-type-armatures-chrome-transparent	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/index-en7eab.html	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:57:07	73232/73232	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:57:00%20GMT	http://netelsan.com.tr/index-en.php?/sensors/motion-sensors/180-digital-sensor-wall-type-armatures-classic-transparent	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/index-enb8eb.html	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:57:12	95903/95903	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jun%202017%2011:55:10%20GMT	https://netelsan.com.tr/upload/2017/06/180-derece-klasik-seffaf.jpg	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/upload/2017/06/180-derece-klasik-seffaf.jpg	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:57:12	73151/73151	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:56:54%20GMT	http://netelsan.com.tr/index-en.php?/sensors/motion-sensors/180-digital-sensor-wall-type-armatures-classic	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/index-enfbf7.html	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:57:13	73151/73151	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:56:57%20GMT	http://netelsan.com.tr/index-en.php?/sensors/180-digital-sensor-wall-type-armatures-classic	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/index-en30d3.html	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:57:23	73232/73232	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:57:06%20GMT	http://netelsan.com.tr/index-en.php?/sensors/180-digital-sensor-wall-type-armatures-classic-transparent	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/index-en8460.html	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:57:24	131391/131391	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jun%202017%2012:28:57%20GMT	https://netelsan.com.tr/upload/2017/06/180-duvar-black.jpg	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/upload/2017/06/180-duvar-black.jpg	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:57:25	73132/73132	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:57:11%20GMT	http://netelsan.com.tr/index-en.php?/sensors/motion-sensors/180-digital-wall-type-motion-sensor-black	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/index-en7b72.html	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:57:30	73132/73132	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:57:12%20GMT	http://netelsan.com.tr/index-en.php?/sensors/180-digital-wall-type-motion-sensor-black	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/index-enaec1.html	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:57:34	97155/97155	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jun%202017%2012:28:31%20GMT	https://netelsan.com.tr/upload/2017/06/182-duvar-klasik.jpg	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/upload/2017/06/182-duvar-klasik.jpg	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:57:37	73145/73145	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:57:23%20GMT	http://netelsan.com.tr/index-en.php?/sensors/180-digital-wall-type-motion-sensor-classic	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/index-en21ee.html	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:57:38	67696/67696	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jun%202017%2012:52:24%20GMT	https://netelsan.com.tr/upload/2017/06/barla-led-panel.jpg	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/upload/2017/06/barla-led-panel.jpg	(from https://netelsan.com.tr/index-en.php?/armaturs/led-panel-armaturs)
23:57:43	53603/53603	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jun%202017%2012:54:48%20GMT	https://netelsan.com.tr/upload/2017/06/elez-mutfak-aydinlatma2.jpg	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/upload/2017/06/elez-mutfak-aydinlatma2.jpg	(from https://netelsan.com.tr/index-en.php?/armaturs/led-panel-armaturs)
23:57:46	73145/73145	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:57:23%20GMT	http://netelsan.com.tr/index-en.php?/sensors/motion-sensors/180-digital-wall-type-motion-sensor-classic	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/index-enb3fd.html	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:57:48	72624/72624	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:57:33%20GMT	http://netelsan.com.tr/index-en.php?/armaturs/led-panel-armaturs/barla-led-panel-60x60	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/index-en37f8.html	(from https://netelsan.com.tr/index-en.php?/armaturs/led-panel-armaturs)
23:57:48	72624/72624	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:57:36%20GMT	http://netelsan.com.tr/index-en.php?/armaturs/barla-led-panel-60x60	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/index-en5df9.html	(from https://netelsan.com.tr/index-en.php?/armaturs/led-panel-armaturs)
23:57:54	51975/51975	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jun%202017%2012:54:23%20GMT	https://netelsan.com.tr/upload/2017/06/elez-mutfak-aydinlatma.jpg	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/upload/2017/06/elez-mutfak-aydinlatma.jpg	(from https://netelsan.com.tr/index-en.php?/armaturs/led-panel-armaturs)
23:57:54	73044/73044	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:57:41%20GMT	http://netelsan.com.tr/index-en.php?/armaturs/led-panel-armaturs/elez-kitchen-luminaire-1-spotlight-1-socket	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/index-en2a2b.html	(from https://netelsan.com.tr/index-en.php?/armaturs/led-panel-armaturs)
